,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
290,Women's Clothes,Pants,Joggers,Scuba High-Rise Relaxed Jogger Full Length,128.0,4.1,165
291,Women's Clothes,Shirts,T-Shirts,New Year Cates T-Shirt Online Only,48.0,,0
292,Women's Clothes,Coats & Jackets,,Cross Chill Jacket RepelShell,198.0,4.1,413
293,Women's Clothes,Hoodies & Sweatshirts,,Ribbed Nulu Cropped Define Jacket,138.0,4.4,98
294,Women's Clothes,Pants,,Loungeful High-Rise Jogger Full Length,128.0,4.5,141
295,Women's Clothes,Underwear,,UnderEase Ribbed High-Waist Brief 3 Pack Online Only,54.0,4.3,6
296,Women's Clothes,Shorts,,"Base Pace High-Rise Short 6"" Online Only",64.0,,0
297,Women's Clothes,Shirts,Long Sleeve Shirts,Team Canada Love Long Sleeve Shirt COC Logo Online Only,58.0,4.4,78
298,Women's Clothes,Shirts,Long Sleeve Shirts,Keep the Heat Thermal Long Sleeve Shirt,118.0,3.8,164
299,Women's Clothes,Shirts,T-Shirts,Heavyweight Cotton T-Shirt,78.0,,0
300,Women's Clothes,Hoodies & Sweatshirts,,Loungeful Crewneck Pullover Embroidered Online Only,118.0,4.8,25
302,Women's Clothes,Hoodies & Sweatshirts,,Rest Less Cropped Half Zip,118.0,3.9,117
303,Women's Clothes,Sports Bras,,"Everlux High-Neck Train Bra Medium Support, C/D Cup",74.0,4.6,11
304,Women's Clothes,Shirts,Long Sleeve Shirts,lululemon lab Seamless Wool-Blend Long Sleeve Shirt,148.0,2.5,2
305,Women's Clothes,Coats & Jackets,,Quilted Light Insulation Cropped Jacket,198.0,,0
306,Women's Clothes,Pants,,"Fast and Free High-Rise Fleece Tight 28""",148.0,4.1,190
307,Women's Clothes,Hoodies & Sweatshirts,,Brushed Softstreme Ribbed Half Zip,128.0,4.6,150
308,Women's Clothes,Dresses,,Nulux Asymmetrical Tennis Dress,148.0,,0
309,Women's Clothes,Sweaters,,Merino Wool-Blend Ribbed Crewneck Sweater,138.0,,0
310,Women's Clothes,Sweaters,,Merino Wool-Blend Ribbed Turtleneck Sweater,148.0,4.2,149
311,Women's Clothes,Shirts,Long Sleeve Shirts,All It Takes Ribbed Nulu Long-Sleeve Shirt,68.0,4.7,77
312,Women's Clothes,Shorts,,"Speed Up Mid-Rise Lined Short 4"" Graphic",78.0,4.5,302
313,Women's Clothes,Pants,Joggers,Brushed Softstreme Ribbed High-Rise Jogger Full Length,158.0,4.3,94
314,Women's Clothes,Shirts,T-Shirts,All Yours Short Sleeve T-Shirt Vitasea,58.0,4.2,240
315,Women's Clothes,Shirts,Long Sleeve Shirts,UV Protection Running Long Sleeve Shirt,78.0,4.4,22
316,Women's Clothes,Coats & Jackets,,Wunder Puff Cropped Jacket Online Only,278.0,4.7,260
317,Women's Clothes,Shirts,T-Shirts,Ribbed Modal-Silk Blend Reversible T-Shirt,78.0,3.5,2
318,Women's Clothes,Shirts,Long Sleeve Shirts,Team Canada All Yours Long-Sleeve Shirt,68.0,,0
319,Women's Clothes,Pants,Leggings,"Swift Speed High-Rise Crop 23"" Online Only",128.0,,0
320,Women's Clothes,Hoodies & Sweatshirts,,Team Canada Loungeful Crewneck Pullover,108.0,5.0,7
